user_id,food_id,like
70,1,1
70,2,0
70,3,0
70,4,0
70,5,1
70,6,1
70,7,1
70,8,1
70,9,1
70,10,0
70,11,1
70,12,0
70,13,1
70,14,1
70,15,0
70,16,1
70,17,0
70,18,1
70,19,0
70,20,0
70,21,0
70,22,0
70,23,1
70,24,0
70,25,1
70,26,1
70,27,0
70,28,1
70,29,0
70,30,1
70,31,0
70,32,0
70,33,1
70,34,1
70,35,0
70,36,1
70,37,1
70,38,0
70,39,0
70,40,1
70,41,1
70,42,0
70,43,0
70,44,1
70,45,1
70,46,0
70,47,1
70,48,1
70,49,1
70,50,1
70,51,0
70,52,1
70,53,0
70,54,1
70,55,0
70,56,0
70,57,0
70,58,1
70,59,1
70,60,0
70,61,0
70,62,0
70,63,0
70,64,0
70,65,1
70,66,0
70,67,1
70,68,0
70,69,1
70,70,1
70,71,0
70,72,1
70,73,0
70,74,0
70,75,0
70,76,0
70,77,0
70,78,0
70,79,0
70,80,1
70,81,0
70,82,1
70,83,0
70,84,1
70,85,0
70,86,0
70,87,1
70,88,1
70,89,0
70,90,1
70,91,0
70,92,1
70,93,1
70,94,0
70,95,1
70,96,0
70,97,0
70,98,1
70,99,0
70,100,0
70,101,0
70,102,0
70,103,1
70,104,1
70,105,1
70,106,0
70,107,0
70,108,1
70,109,0
70,110,0
70,111,0
70,112,0
70,113,0
70,114,1
70,115,1
70,116,0
70,117,0
70,118,1
70,119,1
70,120,1
70,121,1
70,122,0
70,123,0
70,124,0
70,125,1
70,126,1
70,127,1
70,128,1
70,129,1
70,130,0
70,131,0
70,132,0
70,133,0
70,134,0
70,135,1
70,136,0
70,137,1
70,138,1
70,139,1
70,140,0
70,141,1
70,142,0
70,143,0
71,1,1
71,2,1
71,3,0
71,4,0
71,5,0
71,6,1
71,7,1
71,8,1
71,9,1
71,10,1
71,11,0
71,12,0
71,13,1
71,14,0
71,15,0
71,16,1
71,17,1
71,18,1
71,19,0
71,20,0
71,21,1
71,22,1
71,23,1
71,24,0
71,25,1
71,26,0
71,27,0
71,28,1
71,29,1
71,30,1
71,31,1
71,32,1
71,33,1
71,34,1
71,35,1
71,36,0
71,37,0
71,38,0
71,39,1
71,40,0
71,41,0
71,42,0
71,43,0
71,44,1
71,45,0
71,46,0
71,47,1
71,48,0
71,49,1
71,50,0
71,51,0
71,52,1
71,53,1
71,54,0
71,55,0
71,56,0
71,57,0
71,58,1
71,59,0
71,60,1
71,61,1
71,62,0
71,63,1
71,64,1
71,65,0
71,66,1
71,67,0
71,68,0
71,69,0
71,70,0
71,71,1
71,72,1
71,73,0
71,74,1
71,75,1
71,76,0
71,77,1
71,78,0
71,79,1
71,80,0
71,81,0
71,82,0
71,83,0
71,84,0
71,85,0
71,86,1
71,87,0
71,88,0
71,89,0
71,90,0
71,91,1
71,92,1
71,93,1
71,94,0
71,95,1
71,96,0
71,97,0
71,98,0
71,99,0
71,100,0
71,101,0
71,102,0
71,103,1
71,104,0
71,105,1
71,106,0
71,107,1
71,108,0
71,109,1
71,110,1
71,111,1
71,112,1
71,113,1
71,114,0
71,115,1
71,116,1
71,117,0
71,118,0
71,119,1
71,120,1
71,121,1
71,122,0
71,123,0
71,124,1
71,125,1
71,126,1
71,127,1
71,128,1
71,129,1
71,130,1
71,131,1
71,132,1
71,133,0
71,134,0
71,135,1
71,136,1
71,137,0
71,138,1
71,139,1
71,140,0
71,141,1
71,142,0
71,143,1
72,1,1
72,2,1
72,3,0
72,4,0
72,5,1
72,6,1
72,7,1
72,8,0
72,9,0
72,10,1
72,11,0
72,12,0
72,13,1
72,14,1
72,15,1
72,16,0
72,17,0
72,18,1
72,19,0
72,20,0
72,21,0
72,22,1
72,23,0
72,24,1
72,25,0
72,26,1
72,27,1
72,28,1
72,29,1
72,30,1
72,31,0
72,32,0
72,33,1
72,34,1
72,35,1
72,36,0
72,37,1
72,38,1
72,39,0
72,40,0
72,41,0
72,42,1
72,43,1
72,44,1
72,45,0
72,46,1
72,47,1
72,48,0
72,49,1
72,50,0
72,51,1
72,52,1
72,53,0
72,54,1
72,55,0
72,56,0
72,57,0
72,58,1
72,59,1
72,60,0
72,61,1
72,62,0
72,63,1
72,64,0
72,65,0
72,66,0
72,67,1
72,68,1
72,69,0
72,70,1
72,71,0
72,72,1
72,73,1
72,74,0
72,75,0
72,76,0
72,77,0
72,78,0
72,79,0
72,80,1
72,81,0
72,82,0
72,83,0
72,84,1
72,85,1
72,86,0
72,87,0
72,88,1
72,89,1
72,90,0
72,91,1
72,92,1
72,93,0
72,94,1
72,95,0
72,96,0
72,97,1
72,98,0
72,99,1
72,100,1
72,101,0
72,102,1
72,103,1
72,104,0
72,105,0
72,106,1
72,107,0
72,108,0
72,109,0
72,110,1
72,111,1
72,112,0
72,113,1
72,114,0
72,115,0
72,116,1
72,117,1
72,118,1
72,119,0
72,120,1
72,121,0
72,122,0
72,123,0
72,124,0
72,125,1
72,126,1
72,127,0
72,128,1
72,129,0
72,130,0
72,131,0
72,132,0
72,133,0
72,134,0
72,135,1
72,136,0
72,137,1
72,138,0
72,139,0
72,140,0
72,141,0
72,142,1
72,143,0
73,1,0
73,2,0
73,3,1
73,4,0
73,5,0
73,6,1
73,7,0
73,8,1
73,9,1
73,10,1
73,11,1
73,12,0
73,13,0
73,14,0
73,15,1
73,16,0
73,17,0
73,18,1
73,19,1
73,20,1
73,21,0
73,22,1
73,23,1
73,24,0
73,25,0
73,26,1
73,27,1
73,28,1
73,29,1
73,30,0
73,31,0
73,32,0
73,33,1
73,34,1
73,35,0
73,36,1
73,37,1
73,38,0
73,39,0
73,40,0
73,41,0
73,42,0
73,43,1
73,44,0
73,45,0
73,46,0
73,47,1
73,48,0
73,49,0
73,50,1
73,51,1
73,52,1
73,53,0
73,54,0
73,55,0
73,56,1
73,57,1
73,58,1
73,59,0
73,60,0
73,61,0
73,62,1
73,63,1
73,64,0
73,65,0
73,66,0
73,67,0
73,68,1
73,69,0
73,70,1
73,71,0
73,72,0
73,73,1
73,74,1
73,75,1
73,76,0
73,77,0
73,78,0
73,79,1
73,80,1
73,81,1
73,82,1
73,83,0
73,84,0
73,85,0
73,86,1
73,87,1
73,88,1
73,89,0
73,90,1
73,91,0
73,92,1
73,93,0
73,94,1
73,95,0
73,96,1
73,97,0
73,98,0
73,99,1
73,100,0
73,101,0
73,102,1
73,103,0
73,104,0
73,105,0
73,106,0
73,107,1
73,108,0
73,109,1
73,110,0
73,111,1
73,112,1
73,113,0
73,114,1
73,115,0
73,116,0
73,117,0
73,118,1
73,119,1
73,120,1
73,121,0
73,122,1
73,123,1
73,124,1
73,125,0
73,126,0
73,127,0
73,128,1
73,129,1
73,130,1
73,131,1
73,132,0
73,133,1
73,134,0
73,135,1
73,136,1
73,137,0
73,138,1
73,139,0
73,140,1
73,141,1
73,142,0
73,143,0
74,1,1
74,2,0
74,3,0
74,4,1
74,5,0
74,6,0
74,7,1
74,8,0
74,9,1
74,10,1
74,11,1
74,12,1
74,13,0
74,14,1
74,15,1
74,16,1
74,17,1
74,18,0
74,19,0
74,20,0
74,21,1
74,22,0
74,23,1
74,24,1
74,25,1
74,26,1
74,27,1
74,28,1
74,29,0
74,30,1
74,31,0
74,32,0
74,33,1
74,34,1
74,35,1
74,36,1
74,37,1
74,38,1
74,39,1
74,40,0
74,41,1
74,42,1
74,43,0
74,44,0
74,45,0
74,46,0
74,47,0
74,48,0
74,49,0
74,50,0
74,51,1
74,52,0
74,53,1
74,54,1
74,55,0
74,56,1
74,57,1
74,58,0
74,59,1
74,60,1
74,61,0
74,62,0
74,63,0
74,64,0
74,65,0
74,66,0
74,67,1
74,68,0
74,69,1
74,70,1
74,71,1
74,72,0
74,73,0
74,74,0
74,75,0
74,76,1
74,77,0
74,78,1
74,79,0
74,80,0
74,81,1
74,82,0
74,83,0
74,84,1
74,85,0
74,86,0
74,87,0
74,88,1
74,89,1
74,90,0
74,91,0
74,92,0
74,93,0
74,94,0
74,95,0
74,96,1
74,97,0
74,98,0
74,99,1
74,100,1
74,101,1
74,102,0
74,103,1
74,104,1
74,105,0
74,106,1
74,107,1
74,108,1
74,109,0
74,110,1
74,111,0
74,112,0
74,113,0
74,114,1
74,115,0
74,116,0
74,117,1
74,118,0
74,119,0
74,120,1
74,121,1
74,122,1
74,123,0
74,124,0
74,125,0
74,126,0
74,127,0
74,128,0
74,129,0
74,130,1
